nome,L_estimado,L,B,erro_L,B_estimado,B_erro,linha,batch,S_OVO,P_OVO,W,D/4,VOL_OVO,aspect_ratio,bounding_box_area,pca_ratio_1_0,pca_ratio_2_0,sphericity_pca,area_proj_2d,shape_compactness
ovo641.ply,58.66925430245288,60.69,45.62,-2.0207456975471203,46.64129458922668,1.0212945892266774,2,3,66.46,67.8,1.83,39.74,66.13,1.2578822011515187,27.364099732509594,0.5895269778961646,0.1156065556458463,0.1156065556458463,15.608476318157404,0.5703997745489117
ovo473.ply,59.32297419944847,60.48,42.93,-1.15702580055153,42.56913335913846,-0.3608666408615377,1,2,62.29,61.5,0.79,38.19,58.9,1.3935678158858595,25.25327599957052,0.521769048233325,0.08259700411859287,0.08259700411859287,15.192030587350722,0.6015865263425264
ovo72.ply,55.98948095902367,56.81,42.74,-0.820519040976329,43.52521103289919,0.7852110328991841,3,0,59.45,57.1,-0.91,35.98,54.87,1.2863689716909856,24.369539743639965,0.5738844914314248,0.07973090385044719,0.07973090385044719,14.578573148154083,0.5982293183012963
ovo123.ply,59.6343493664662,59.07,46.01,0.5643493664662032,46.75274643312687,0.742746433126868,3,0,65.85,69.0,0.0,41.61,65.38,1.2755261223373182,27.880696146348946,0.5774285856021784,0.07779444444360394,0.07779444444360394,15.21189012864052,0.5456065389756259
ovo40.ply,62.71900468266053,62.68,44.21,0.0390046826605328,45.121960988116335,0.9119609881163342,1,0,65.7,68.7,1.21,38.14,64.45,1.3899884515032201,28.300044825044942,0.5385370241525174,0.09818631513072397,0.09818631513072397,15.783660054121151,0.5577256202842812
ovo666.ply,57.31858809648062,59.2,46.51,-1.8814119035193853,45.98934405084637,-0.5206559491536282,3,3,66.69,67.5,0.0,39.3,66.85,1.246344980113404,26.360442684777944,0.6359559894809144,0.1009744023376329,0.1009744023376329,14.958192093317264,0.5674484405360535
ovo414.ply,62.3421073506652,61.34,43.54,1.0021073506651987,44.40672519394652,0.8667251939465217,2,2,63.78,62.6,-0.87,39.03,61.32,1.4038888722009073,27.68408829132503,0.49963506158993065,0.0952325712208772,0.0952325712208772,15.115020400350195,0.545982235040284
ovo286.ply,55.79560054707375,56.94,44.15,-1.1443994529262511,44.86894481911452,0.7189448191145189,2,1,61.57,60.3,1.28,35.87,58.41,1.2435237951774696,25.03489722096008,0.6119275984177136,0.1073849849281427,0.1073849849281427,15.04380187421493,0.6009132668465578
ovo845.ply,59.998461780937085,58.46,45.65,1.5384617809370835,45.57862471605157,-0.0713752839484271,3,4,64.87,64.1,-0.94,41.3,63.78,1.3163727987564142,27.346473730536946,0.5625693473468946,0.1015040554592049,0.1015040554592049,15.430817452799605,0.5642708308518951
ovo78.ply,66.95233722096901,65.5,47.79,1.4523372209690135,47.16124676825254,-0.62875323174746,3,0,73.19,80.8,-2.48,43.18,77.74,1.419647312336094,31.57555697389379,0.4933246242645713,0.0772329786627033,0.0772329786627033,16.625593420269706,0.5265336549412415
ovo948.ply,54.28715909043368,54.73,42.19,-0.4428409095663141,42.291220522962654,0.1012205229626559,1,4,57.17,52.9,0.7,36.49,51.61,1.2836508007839984,22.95870216658688,0.6653893151205367,0.0926325903670082,0.0926325903670082,13.955886225336403,0.6078691262281893
ovo99.ply,56.13338382292443,55.85,43.05,0.2833838229244279,44.21480401567544,1.1648040156754431,3,0,59.2,58.5,0.0,35.99,54.67,1.2695608421790925,24.8192656446729,0.6077042996440621,0.08982396684521875,0.08982396684521875,14.531360892991115,0.5854871413614957
ovo350.ply,58.785941406633725,57.74,44.82,1.0459414066337231,46.13021105805872,1.3102110580587194,3,1,63.12,65.3,-1.1,39.51,60.9,1.2743479827709159,27.118078843346872,0.5601063184035039,0.08789875587789196,0.08789875587789196,15.371749097270554,0.5668450625159919
ovo266.ply,60.13000126122875,60.46,43.89,-0.3299987387712519,43.67075730511714,-0.2192426948828583,3,1,63.71,63.9,0.7,38.41,61.34,1.3768939439523524,26.259226918355083,0.4921013818827826,0.07661870000274286,0.07661870000274286,15.240362295775906,0.5803812253559893
ovo241.ply,57.83373690456294,59.44,46.65,-1.6062630954370576,46.92350103373477,0.2735010337347745,2,1,67.07,69.6,1.04,40.6,67.49,1.2325111219425946,27.137614134260037,0.6117183429632715,0.12104609783405143,0.12104609783405143,15.861553985694249,0.5844859429138148
ovo642.ply,56.38570781465551,56.94,43.83,-0.5542921853444867,43.99747187664739,0.1674718766473901,3,3,61.11,58.3,1.02,37.93,57.63,1.2815669948659811,24.808285938201628,0.5649861865609382,0.08527734760319701,0.08527734760319701,14.924322140821733,0.6015861868892829
ovo684.ply,58.37281446507399,60.26,46.39,-1.887185534926012,46.252247753574,-0.1377522464260039,3,3,67.3,70.1,0.0,41.2,67.72,1.2620535714518526,26.998738767120102,0.5969282168583375,0.09473073751729541,0.09473073751729541,15.883953580018693,0.5883220589312365
ovo142.ply,54.70165380008372,57.02,43.65,-2.3183461999162844,44.16664166917346,0.5166416691734597,1,0,60.91,61.3,0.0,36.54,57.27,1.238528711551625,24.159883420994785,0.6260885520785283,0.11638417056211718,0.11638417056211718,14.756801238090942,0.6107977005082473
ovo937.ply,55.12107688571723,56.03,45.05,-0.9089231142827714,43.93429087795163,-1.115709122048365,2,4,62.17,61.7,0.73,40.42,59.65,1.2546253913336671,24.217054254030373,0.6197173231456798,0.10531889622036317,0.10531889622036317,14.764785427959955,0.6096854420476304
ovo843.ply,55.98014995377172,57.2,43.52,-1.219850046228288,43.79088729886277,0.2708872988627675,1,4,60.85,58.6,0.58,38.33,57.13,1.2783515796727303,24.514204375990552,0.6269059559186981,0.0944563531281316,0.0944563531281316,14.73066760844841,0.6009033531137469
ovo213.ply,57.77540227068712,57.96,44.38,-0.1845977293128839,44.188458657733975,-0.1915413422660279,1,1,62.65,62.5,2.25,39.24,60.03,1.3074772016419975,25.530059746722074,0.582206008099924,0.08990400524169452,0.08990400524169452,15.15503684268923,0.5936154083867766
ovo225.ply,53.83484257710095,56.68,41.16,-2.845157422899049,40.94003771953056,-0.2199622804694385,1,1,57.11,53.0,-0.89,36.54,51.05,1.3149680746732406,22.040004857315026,0.5839395820419008,0.08483115982156408,0.08483115982156408,14.240208568303961,0.6461073244082189
ovo162.ply,60.56647675866442,60.5,46.58,0.0664767586644217,47.03180690755965,0.45180690755965,3,0,67.76,72.1,-1.89,39.37,68.5,1.287776948006845,28.485508399847046,0.5727939470228713,0.10387258034967521,0.10387258034967521,15.570588941253025,0.5466143950352185
ovo710.ply,62.15145705834109,61.57,45.28,0.581457058341087,42.57233222135008,-2.7076677786499275,2,3,66.57,66.6,0.58,39.76,66.17,1.4599025661829268,26.459324779286703,0.5204688393911537,0.06928100062889672,0.06928100062889672,15.197285324041196,0.5743640644956356
ovo65.ply,63.26754346071756,62.3,44.63,0.9675434607175576,45.58804855075961,0.9580485507596066,2,0,66.09,69.8,0.46,37.48,65.19,1.3878098640320802,28.842438429744856,0.5041903842083679,0.0822041952793408,0.0822041952793408,16.091258780605244,0.5579021628077924
ovo830.ply,60.84390264085396,59.76,44.92,1.0839026408539638,44.65044138530872,-0.2695586146912845,3,4,64.75,63.3,1.71,38.47,63.29,1.3626719188687206,27.167071085188798,0.525352299795011,0.08345016657504827,0.08345016657504827,15.37861091318816,0.5660754103732741
ovo727.ply,53.35691158742186,58.17,44.78,-4.813088412578139,43.509573111072456,-1.2704268889275454,1,3,63.38,63.1,1.78,38.18,61.25,1.2263257892972392,23.215364456939607,0.7154158695530806,0.09599018250686099,0.09599018250686099,13.975683346303072,0.6020014621017685
