nome,L_estimado,L,B,erro_L,B_estimado,B_erro,linha,batch,S_OVO,P_OVO,W,D/4,VOL_OVO,aspect_ratio,bounding_box_area,pca_ratio_1_0,pca_ratio_2_0,sphericity_pca,area_proj_2d,shape_compactness
ovo878.ply,61.50896220518467,60.88,47.06,0.6289622051846706,47.16782887354817,0.1078288735481649,3,4,68.76,70.4,0.45,41.16,70.24,1.3040448049895095,29.012442034836926,0.583172837061106,0.11591254319743757,0.11591254319743757,15.235880485714734,0.5251498811241097
ovo471.ply,59.02264790834218,59.29,47.34,-0.2673520916578198,47.0882132878012,-0.2517867121988075,2,2,67.98,72.1,0.0,40.71,69.16,1.2534484489270852,27.792710335188097,0.6132585799375133,0.116929373132464,0.116929373132464,15.9395637572266,0.5735159890845788
ovo327.ply,53.24251646609854,56.2,43.51,-2.95748353390146,44.02683572855093,0.5168357285509302,1,1,60.11,59.2,1.04,36.65,56.11,1.2093196248389786,23.440995262275884,0.6555302352279531,0.08956587552480595,0.08956587552480595,14.623845974144741,0.6238577249183282
ovo136.ply,55.04518867071508,54.89,44.54,0.1551886707150771,44.02404808944554,-0.5159519105544561,1,0,60.57,60.5,-0.48,38.37,57.23,1.2503436430670212,24.233120331321633,0.682216989735296,0.11823071473964421,0.11823071473964421,14.306253167325696,0.5903595150656133
ovo548.ply,54.19256891464309,56.55,43.93,-2.357431085356908,44.0548181525662,0.1248181525661991,1,2,60.96,59.5,1.52,38.43,57.47,1.2301167315449777,23.87443768755013,0.6771195470371089,0.09636287001173606,0.09636287001173606,14.438407391672332,0.6047642914413673
ovo317.ply,58.5189153863366,58.24,44.53,0.2789153863365996,44.69233801460329,0.1623380146032857,3,1,63.07,63.1,1.05,37.89,60.69,1.3093724335302275,26.153471466941244,0.5477860907412204,0.09022620926191123,0.09022620926191123,15.530711288087815,0.5938298213190968
ovo604.ply,56.87065784243538,57.12,45.92,-0.2493421575646195,46.47107264541429,0.5510726454142869,1,3,64.25,64.7,-1.27,39.45,63.0,1.223786209463519,26.428404719883144,0.6534645455603519,0.11509231588544604,0.11509231588544604,15.502144123640274,0.5865713155201303
ovo428.ply,52.84780577707661,55.15,44.21,-2.30219422292339,43.70751465064479,-0.5024853493552115,1,2,60.31,59.1,-1.41,38.12,56.71,1.209124019050051,23.09846245256006,0.7350033173016768,0.10910710225015313,0.10910710225015313,14.071205601452167,0.6091836471952106
ovo1.ply,57.04020013645354,57.13,43.74,-0.0897998635464603,41.60753433399355,-2.1324656660064534,1,0,61.12,59.9,0.0,37.19,57.6,1.3709103663432283,23.73302085595354,0.5528412831920418,0.10464795458941974,0.10464795458941974,14.437072214187047,0.6083116136716089
ovo322.ply,60.836759376496325,64.39,44.74,-3.553240623503676,43.75723913145021,-0.9827608685497892,2,1,67.66,67.0,1.54,39.63,67.69,1.3903244488012116,26.620486280198456,0.49014873319513214,0.08686542644098409,0.08686542644098409,15.715525662111455,0.5903545674070344
ovo702.ply,63.12654293400749,62.84,45.96,0.2865429340074854,45.68650257753878,-0.2734974224612188,3,3,68.5,68.0,1.42,40.74,69.42,1.3817328832923816,28.840309664656456,0.5536003948789825,0.07560567260078162,0.07560567260078162,15.725687176939227,0.5452676257568384
ovo545.ply,55.22575278166197,57.28,42.78,-2.054247218338034,42.17045743360245,-0.6095425663975576,1,2,59.85,54.8,0.48,36.87,55.42,1.3095839159111595,23.288952569177283,0.6023324754499103,0.09322613304300205,0.09322613304300205,14.453543524860635,0.6206180154271845
ovo333.ply,56.504045088568326,57.01,43.98,-0.5059549114316724,44.07372950790752,0.0937295079075255,1,1,61.37,61.8,1.18,37.46,58.06,1.2820345752321824,24.903439993361708,0.5913148682261741,0.09134091785897412,0.09134091785897412,14.825591373539481,0.5953230307737168
ovo582.ply,62.75231429803749,61.24,45.94,1.512314298037488,46.02102155378431,0.0810215537843106,2,2,67.33,68.1,-1.14,39.67,67.6,1.3635576130073404,28.879256088598304,0.5149937245340434,0.09484562812102204,0.09484562812102204,15.742819555661978,0.5451255221867481
